title,price,description,img
Toyota Highlander,$ 30 000,"2018г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,88513км",https://im.mashina.kg/tachka/images//a/4/8/a489880611b98a3b2215e1889f052935_240x180.jpg
BMW 3 серии,$ 45 000,"2018г.,3л.,автоматседан,бензинрульслева,94000км",https://im.mashina.kg/tachka/images//c/5/5/c55581f1018d51a48d7f6db22713b8e7_240x180.jpg
Voyah Free,$ 43 200,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева",https://im.mashina.kg/tachka/images//8/d/a/8dab5ec89cdfe79de80499fde74bf025_240x180.jpg
LiXiang L7,$ 57 400,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева",https://im.mashina.kg/tachka/images//a/4/5/a450cf2ebf30fb412f07e6a077f2f45b_240x180.jpg
Kia K5 I Седан,$ 10 000,"2011г.,2л.,автоматседан,газрульслева,220000км",https://im.mashina.kg/tachka/images//a/4/7/a47cf3095604ddbbb234403d36962283_240x180.jpg
Kia Morning,$ 9 000,"2017г.,1л.,автоматхэтчбек5дв.,бензинрульслева,123000км",https://im.mashina.kg/tachka/images//6/0/9/6095e81b1d39eeee4e8e5bb0ceb453de_240x180.jpg
Toyota Camry,$ 20 500,"2018г.,2.5л.,вариаторседан,гибридрульслева,150000км",https://im.mashina.kg/tachka/images//7/f/1/7f1576f9ac918e797e4664e12584b2dd_240x180.jpg
BMW X5,$ 40 000,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,175000км",https://im.mashina.kg/tachka/images//f/3/1/f3192fe7aa1d62fed2bc59411c9e6f18_240x180.jpg
Lexus GX,$ 48 000,"2018г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,58700км",https://im.mashina.kg/tachka/images//a/1/1/a112680b44e58dc453d0456230401ff3_240x180.jpg
Toyota Camry,$ 20 500,"2020г.,2.5л.,автоматседан,бензинрульслева,123000км",https://im.mashina.kg/tachka/images//5/c/a/5ca62ba93e5d78288ce8a4c34a70bf69_240x180.jpg
Ford Fusion (North America),$ 13 500,"2020г.,2л.,вариаторседан,гибридрульслева,77000км",https://im.mashina.kg/tachka/images//3/c/a/3ca979d0bc29e139ee1ad209ec06b113_240x180.jpg
Changan UNI-K,$ 27 000,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева",https://im.mashina.kg/tachka/images//2/2/5/2250ca947bd43680f84ee848aa4d367f_240x180.jpg
